journal;Total_Autores;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
"IEEE Trans. Parallel Distrib. Syst.";6924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;98;138;254;292;296;274;287;243;244;236;249;249;272;252;297;351;426;373;447;457;663;421
"IEEE Trans. Circuits Syst. Video Techn.";6803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;305;252;323;382;303;310;331;357;503;441;560;583;660;677;569;247
"IBM Journal of Research and Development";6686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;11;16;68;72;63;25;23;13;44;73;50;77;93;62;75;36;48;32;38;168;226;103;110;217;199;179;243;247;149;207;281;259;309;518;241;344;416;489;263;428;155
"Comput. Graph. Forum";6503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;44;0;0;0;50;42;42;43;49;134;148;146;152;152;133;142;139;192;226;143;221;219;244;245;243;746;804;871;845;51
"IEEE Trans. on Circuits and Systems";6503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1721;1356;1460;1439;527
"Computational Statistics & Data Analysis";6461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;276;358;295;811;1002;825;882;664;727;577
"Mathematical and Computer Modelling";6448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;555;500;560;625;921;1028;1502;488
"SIAM J. Comput.";6447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;41;39;75;79;94;67;81;114;124;116;97;106;133;159;139;160;181;140;126;143;175;187;169;140;195;329;291;343;124;139;179;215;213;196;244;273;262;224;229;68
"Neural Networks";6372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;65;113;152;165;147;259;277;274;282;282;252;208;237;218;361;277;332;370;284;459;427;368;381;140
"Appl. Math. Lett.";6231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;302;292;296;406;418;398;448;442;470;803;614;877;465
