conference,num_autores
MIAR,1066
LPNMR,1065
"IEEE Real-Time and Embedded Technology and Applications Symposium",1062
CloudCom,1061
HPCS,1059
"IEEE Conference on Computational Complexity",1059
AAECC,1059
ICISC,1057
GfKl,1057
DGCI,1054
DCOSS,1053
PReMI,1051
e-Science,1050
APGV,1050
FSE,1048
APMS,1046
GROUP,1044
ICDMA,1042
ECRTS,1040
ICEEI,1038
AIPR,1034
CDVE,1032
"ACCV (1)",1030
ESEM,1028
ARC,1026
AIMSA,1026
ICMB,1021
"ISDA (1)",1021
MobiSys,1019
ERSA,1019
ICMCS,1016
"Congress on Evolutionary Computation",1015
"International Conference on Computational Science (4)",1015
MoDELS,1014
"EUC Workshops",1010
AVBPA,1008
INCoS,1006
"ICCV Workshops",1005
"Mensch & Computer",1003
"International Conference on Supercomputing",999
SPDP,997
SoCPaR,995
SimVis,993
ICGA,992
"SIGSOFT FSE",991
KES-AMSTA,991
IDA,991
MIPRO,987
3DIM,985
"Creativity & Cognition",985
ICWSM,985
"PCM (2)",985
ENTER,981
"CHI Conference Companion",980
DBTA,978
IMCSIT,977
"Financial Cryptography",977
IMSA,976
SEAL,974
ESM,967
PSIVT,963
AMAST,962
ASIAN,961
ETRA,961
MLMI,957
CIG,957
ASYNC,957
ICAISC,955
IBERAMIA,954
SKG,954
"ICASSP (1)",953
PROLAMAT,953
"INTERACT (2)",952
WSDM,952
"COMPSAC (2)",951
RecSys,951
GMDS,950
CCTA,950
ISSTA,950
EUROSIM,949
WiOpt,948
FoSSaCS,946
"HCI (9)",945
APPROX-RANDOM,945
ICES,941
TIME,940
RSFDGrC,937
"SIGITE Conference",937
DS-RT,937
"HCI (4)",936
"Parallel and Distributed Computing and Networks",935
DeLFI,934
"Artificial Intelligence and Applications",933
TAMC,932
IHI,932
"Grundlagen von Datenbanken",931
"OTM Conferences (2)",930
"ICIRA (1)",930
"ICIRA (2)",929
AMS,928
FQAS,926
"IEEE Pacific Rim Conference on Multimedia",926
OSDI,925
ICVS,925
INDOCRYPT,924
"European Test Symposium",923
SAMOS,921
QEST,917
MobiQuitous,916
ISHPC,914
ILP,912
"HCI (3)",912
ISPASS,911
IbPRIA,911
RIVF,910
APPT,910
"Kommunikation in Verteilten Systemen",908
RTSS,907
SBAC-PAD,904
EUROCON,904
"AINA (2)",903
"ER (Workshops)",903
FMCAD,899
AICT,899
"Fuzzy Days",897
"CSSE (1)",896
"ITCC (2)",894
ICT,894
WWIC,894
PWC,893
"BIBM Workshops",892
EMO,892
ICDT,892
VISUAL,890
"Color Imaging Conference",890
"HCI (6)",889
ICN,885
ICSR,885
Middleware,885
ASIACCS,884
"CSSE (5)",884
ICIW,884
JELIA,884
TPHOLs,883
"HCI (12)",881
MDM,881
"ICC (3)",878
"ICNC (3)",878
SIGMAP,877
AIAI,877
DNA,877
CGO,876
"GLOBECOM Workshops",876
"Mobility Conference",876
"Information Hiding",874
IWDW,874
EMS,872
"HICSS (1)",872
SLT,872
NAS,872
"Great Lakes Symposium on VLSI",872
"IWINAC (2)",871
GRAPP,870
WCNIS,870
ICDCN,870
ISSS,869
ICFIE,868
"MICCAI (3)",866
MLDM,866
"ICAART (1)",865
"Euro-Par Workshops",864
"BCS HCI",863
ICARIS,862
INEX,861
NDSS,861
"ISPA Workshops",861
"Robotics: Science and Systems",860
MSV,859
CIAA,859
"AAMAS (2)",857
NSDI,856
"Australian Software Engineering Conference",854
"IFIP Congress (2)",853
WASA,852
"ICALP (1)",851
"IEEE PACT",850
IMR,850
KSEM,849
ICEGOV,849
SBBD,849
"Selected Areas in Cryptography",847
"IFSA/EUSFLAT Conf.",847
ACNS,846
"ICIAR (2)",845
SCCC,844
I3E,843
ATVA,842
FECS,842
"ICC (2)",840
MMNS,839
"HCI (8)",839
RCIS,838
SAT,837
"IEEE Real Time Technology and Applications Symposium",835
FGCS,835
3DIC,831
EURO-DAC,831
"CSSE (2)",831
VAST,831
"Shape Modeling International",831
"Nursing Informatics",829
ACSC,825
Wissensmanagement,825
ASONAM,825
SBRN,823
"ISMB (Supplement of Bioinformatics)",821
"AINA (1)",820
"HICSS (4)",820
WISA,819
"IRMA Conference",819
FTDCS,815
Pervasive,811
ICAT,810
IS&N,810
"ECCV (4)",808
SEFM,808
"ICSE Companion",806
"Panhellenic Conference on Informatics",806
"PCM (1)",805
CT-RSA,804
"ER Workshops",804
Wirtschaftsinformatik,803
WIRN,802
WOA,799
"Int. Conf. Interaction Sciences",799
DSOM,798
EJC,798
PARELEC,797
OOIS,796
APL,796
SEDE,795
"ICEIS (5)",794
"ICPP (3)",794
"IEEE CLOUD",794
LCTES,793
"CSSE (4)",793
CORIA,792
"HCI (16)",792
ML,792
"CSCWD (Selected papers)",790
CSE,789
"Rough Sets and Current Trends in Computing",789
LOPSTR,789
MMVR,789
"HCI (7)",788
CONPAR,788
