conference,num_publicacoes,num_autores
"ICIAR (2)",268,845
"Optimization Techniques",268,442
TLCA,267,426
"GLOBECOM Workshops",267,876
"IASTED Conf. on Software Engineering",267,707
"User Modeling",267,669
ECCE,267,773
WICSA,267,706
"IASTED PDCS",265,754
CEEMAS,265,699
"AINA (1)",265,820
"Australasian Conference on Artificial Intelligence",264,730
"CSSE (3)",264,759
"ICEIS (5)",263,794
CONTEXT,262,570
SPIN,262,625
ENC,262,666
DAIS,262,775
APPT,262,910
CISST,261,751
"Structure in Complexity Theory Conference",261,498
MDAI,261,647
WASA,261,852
"SWAT (FOCS)",261,401
OSS,260,712
WWIC,260,894
WILF,260,726
ADHOC-NOW,260,761
CCTA,260,950
"ICIRA (2)",259,929
